armLength 	0.4 	slingLength 	1.5000000000000002 	17.465518052556025
armLength 	0.4 	slingLength 	1.6000000000000003 	0.0
armLength 	0.4 	slingLength 	1.7000000000000004 	0.0
armLength 	0.4 	slingLength 	1.8000000000000005 	0.0
armLength 	0.4 	slingLength 	1.9000000000000006 	0.0
armLength 	0.4 	slingLength 	2.0000000000000004 	0.0
armLength 	0.4 	slingLength 	2.1000000000000005 	0.0
armLength 	0.4 	slingLength 	2.2000000000000006 	0.0
armLength 	0.4 	slingLength 	2.3000000000000007 	0.0
armLength 	0.4 	slingLength 	2.400000000000001 	0.0
armLength 	0.4 	slingLength 	2.500000000000001 	0.0
armLength 	0.4 	slingLength 	2.600000000000001 	0.0
armLength 	0.4 	slingLength 	2.700000000000001 	0.0
armLength 	0.4 	slingLength 	2.800000000000001 	0.0
armLength 	0.4 	slingLength 	2.9000000000000012 	0.0
armLength 	0.4 	slingLength 	3.0000000000000013 	0.0
armLength 	0.4 	slingLength 	3.1000000000000014 	0.0
armLength 	0.4 	slingLength 	3.2000000000000015 	0.0
armLength 	0.4 	slingLength 	3.3000000000000016 	0.0
armLength 	0.4 	slingLength 	3.4000000000000017 	0.0
armLength 	0.4 	slingLength 	3.5000000000000018 	0.0
armLength 	0.4 	slingLength 	3.600000000000002 	0.0
armLength 	0.4 	slingLength 	3.700000000000002 	0.0
armLength 	0.4 	slingLength 	3.800000000000002 	0.0
armLength 	0.4 	slingLength 	3.900000000000002 	0.0
armLength 	0.4 	slingLength 	4.000000000000002 	0.0
armLength 	0.4 	slingLength 	4.100000000000001 	0.0
armLength 	0.4 	slingLength 	4.200000000000001 	0.0
armLength 	0.4 	slingLength 	4.300000000000001 	0.0
armLength 	0.4 	slingLength 	4.4 	0.0
armLength 	0.4 	slingLength 	4.5 	0.0
armLength 	0.4 	slingLength 	4.6 	0.0
armLength 	0.4 	slingLength 	4.699999999999999 	0.0
armLength 	0.4 	slingLength 	4.799999999999999 	0.0
armLength 	0.4 	slingLength 	4.899999999999999 	0.0
armLength 	0.4 	slingLength 	4.999999999999998 	0.0
armLength 	0.4 	slingLength 	5.099999999999998 	0.0
armLength 	0.4 	slingLength 	5.1999999999999975 	0.0
armLength 	0.4 	slingLength 	5.299999999999997 	0.0
armLength 	0.4 	slingLength 	5.399999999999997 	0.0
armLength 	0.4 	slingLength 	5.4999999999999964 	0.0
armLength 	0.4 	slingLength 	5.599999999999996 	0.0
armLength 	0.4 	slingLength 	5.699999999999996 	0.0
armLength 	0.4 	slingLength 	5.799999999999995 	0.0
armLength 	0.4 	slingLength 	5.899999999999995 	0.0
armLength 	0.4 	slingLength 	5.999999999999995 	0.0
armLength 	0.4 	slingLength 	6.099999999999994 	0.0
armLength 	0.4 	slingLength 	6.199999999999994 	0.0
armLength 	0.4 	slingLength 	6.299999999999994 	0.0
armLength 	0.4 	slingLength 	6.399999999999993 	0.0
armLength 	0.4 	slingLength 	6.499999999999993 	0.0
armLength 	0.4 	slingLength 	6.5999999999999925 	0.0
armLength 	0.4 	slingLength 	6.699999999999992 	0.0
armLength 	0.4 	slingLength 	6.799999999999992 	0.0
armLength 	0.4 	slingLength 	6.8999999999999915 	0.0
armLength 	0.4 	slingLength 	6.999999999999991 	0.0

armLength 	0.5 	slingLength 	0.1 	0.3539908221695604
armLength 	0.5 	slingLength 	0.2 	49.839101868822
armLength 	0.5 	slingLength 	0.30000000000000004 	20.869399978643724
armLength 	0.5 	slingLength 	0.4 	61.77861746524993
armLength 	0.5 	slingLength 	0.5 	81.77465137295972
armLength 	0.5 	slingLength 	0.6 	48.54699900023256
armLength 	0.5 	slingLength 	0.7 	24.282089477883826
armLength 	0.5 	slingLength 	0.7999999999999999 	16.97117347031441
armLength 	0.5 	slingLength 	0.8999999999999999 	2.2894194951925764
armLength 	0.5 	slingLength 	0.9999999999999999 	4.965600447588842
armLength 	0.5 	slingLength 	1.0999999999999999 	17.713901405198826
armLength 	0.5 	slingLength 	1.2 	56.525828679071445
armLength 	0.5 	slingLength 	1.3 	0.0
armLength 	0.5 	slingLength 	1.4000000000000001 	5.982702567815947
armLength 	0.5 	slingLength 	1.5000000000000002 	0.0
armLength 	0.5 	slingLength 	1.6000000000000003 	1.0118807201198101
armLength 	0.5 	slingLength 	1.7000000000000004 	2.7973966753157637
armLength 	0.5 	slingLength 	1.8000000000000005 	0.0
armLength 	0.5 	slingLength 	1.9000000000000006 	0.0
armLength 	0.5 	slingLength 	2.0000000000000004 	2.002901529284538
armLength 	0.5 	slingLength 	2.1000000000000005 	0.0
armLength 	0.5 	slingLength 	2.2000000000000006 	2.469627015113506
armLength 	0.5 	slingLength 	2.3000000000000007 	2.6484303627406205
armLength 	0.5 	slingLength 	2.400000000000001 	2.6324321070552386
armLength 	0.5 	slingLength 	2.500000000000001 	2.9450763768584958
armLength 	0.5 	slingLength 	2.600000000000001 	3.220211507306582
armLength 	0.5 	slingLength 	2.700000000000001 	1.763844836117828
armLength 	0.5 	slingLength 	2.800000000000001 	0.0
armLength 	0.5 	slingLength 	2.9000000000000012 	0.798509265001554
armLength 	0.5 	slingLength 	3.0000000000000013 	0.0
armLength 	0.5 	slingLength 	3.1000000000000014 	0.0
armLength 	0.5 	slingLength 	3.2000000000000015 	0.0
armLength 	0.5 	slingLength 	3.3000000000000016 	0.0
armLength 	0.5 	slingLength 	3.4000000000000017 	0.7577547017553583
armLength 	0.5 	slingLength 	3.5000000000000018 	1.6043689441767726
armLength 	0.5 	slingLength 	3.600000000000002 	2.6554731895042245
armLength 	0.5 	slingLength 	3.700000000000002 	4.1480323656255145
armLength 	0.5 	slingLength 	3.800000000000002 	4.861946637848917
armLength 	0.5 	slingLength 	3.900000000000002 	6.731052974971751
armLength 	0.5 	slingLength 	4.000000000000002 	7.4398597254499945
armLength 	0.5 	slingLength 	4.100000000000001 	8.239164362488257
armLength 	0.5 	slingLength 	4.200000000000001 	7.598201317776935
armLength 	0.5 	slingLength 	4.300000000000001 	7.892640779548775
armLength 	0.5 	slingLength 	4.4 	6.58879921756927
armLength 	0.5 	slingLength 	4.5 	5.72381519734547
armLength 	0.5 	slingLength 	4.6 	4.90643730885506
armLength 	0.5 	slingLength 	4.699999999999999 	4.6707399737159
armLength 	0.5 	slingLength 	4.799999999999999 	6.622972819542819
armLength 	0.5 	slingLength 	4.899999999999999 	0.0
armLength 	0.5 	slingLength 	4.999999999999998 	0.0
armLength 	0.5 	slingLength 	5.099999999999998 	0.0
armLength 	0.5 	slingLength 	5.1999999999999975 	0.0
armLength 	0.5 	slingLength 	5.299999999999997 	0.0
armLength 	0.5 	slingLength 	5.399999999999997 	0.0
armLength 	0.5 	slingLength 	5.4999999999999964 	0.0
armLength 	0.5 	slingLength 	5.599999999999996 	0.0
armLength 	0.5 	slingLength 	5.699999999999996 	0.0
armLength 	0.5 	slingLength 	5.799999999999995 	0.0
armLength 	0.5 	slingLength 	5.899999999999995 	0.0
armLength 	0.5 	slingLength 	5.999999999999995 	0.0
armLength 	0.5 	slingLength 	6.099999999999994 	0.0
armLength 	0.5 	slingLength 	6.199999999999994 	0.0
armLength 	0.5 	slingLength 	6.299999999999994 	0.0
armLength 	0.5 	slingLength 	6.399999999999993 	0.0
armLength 	0.5 	slingLength 	6.499999999999993 	0.0
armLength 	0.5 	slingLength 	6.5999999999999925 	0.0
armLength 	0.5 	slingLength 	6.699999999999992 	0.0
armLength 	0.5 	slingLength 	6.799999999999992 	0.0
armLength 	0.5 	slingLength 	6.8999999999999915 	0.0
armLength 	0.5 	slingLength 	6.999999999999991 	0.0

armLength 	0.6 	slingLength 	0.1 	24.779946376408322
armLength 	0.6 	slingLength 	0.2 	0.5478132034499893
armLength 	0.6 	slingLength 	0.30000000000000004 	1.0626392422907416
armLength 	0.6 	slingLength 	0.4 	37.870448773116664
armLength 	0.6 	slingLength 	0.5 	27.928943497538352
armLength 	0.6 	slingLength 	0.6 	7.5175789272564035
armLength 	0.6 	slingLength 	0.7 	1.4446198216437007
armLength 	0.6 	slingLength 	0.7999999999999999 	0.3386056854870707
armLength 	0.6 	slingLength 	0.8999999999999999 	87.43593778861936
armLength 	0.6 	slingLength 	0.9999999999999999 	0.0
armLength 	0.6 	slingLength 	1.0999999999999999 	1.8685700825852707
armLength 	0.6 	slingLength 	1.2 	3.194115863717928
armLength 	0.6 	slingLength 	1.3 	4.242541823666703
armLength 	0.6 	slingLength 	1.4000000000000001 	3.920485861621218
armLength 	0.6 	slingLength 	1.5000000000000002 	3.1574655724444014
armLength 	0.6 	slingLength 	1.6000000000000003 	2.161788438297308
armLength 	0.6 	slingLength 	1.7000000000000004 	1.9034153023305884
armLength 	0.6 	slingLength 	1.8000000000000005 	1.7902007213814868
armLength 	0.6 	slingLength 	1.9000000000000006 	0.0
armLength 	0.6 	slingLength 	2.0000000000000004 	1.8942431934117159
armLength 	0.6 	slingLength 	2.1000000000000005 	0.3656633311450778
armLength 	0.6 	slingLength 	2.2000000000000006 	2.9694632390588565
armLength 	0.6 	slingLength 	2.3000000000000007 	6.673676064332774
armLength 	0.6 	slingLength 	2.400000000000001 	11.215037120643178
armLength 	0.6 	slingLength 	2.500000000000001 	14.544627560128458
armLength 	0.6 	slingLength 	2.600000000000001 	19.419718521793328
armLength 	0.6 	slingLength 	2.700000000000001 	21.499666576971933
armLength 	0.6 	slingLength 	2.800000000000001 	22.87237896448304
armLength 	0.6 	slingLength 	2.9000000000000012 	19.32101704084545
armLength 	0.6 	slingLength 	3.0000000000000013 	9.095341014254352
armLength 	0.6 	slingLength 	3.1000000000000014 	0.0
armLength 	0.6 	slingLength 	3.2000000000000015 	4.896142591256106
armLength 	0.6 	slingLength 	3.3000000000000016 	11.164614365647108
armLength 	0.6 	slingLength 	3.4000000000000017 	0.0
armLength 	0.6 	slingLength 	3.5000000000000018 	0.0
armLength 	0.6 	slingLength 	3.600000000000002 	0.0
armLength 	0.6 	slingLength 	3.700000000000002 	0.0
armLength 	0.6 	slingLength 	3.800000000000002 	0.0
armLength 	0.6 	slingLength 	3.900000000000002 	0.0
armLength 	0.6 	slingLength 	4.000000000000002 	0.0
armLength 	0.6 	slingLength 	4.100000000000001 	0.0
armLength 	0.6 	slingLength 	4.200000000000001 	0.0
armLength 	0.6 	slingLength 	4.300000000000001 	0.0
